longitude,latitude,all_spp_cpue_2020,five_spp_cpue_2020,cod_cpue_2020,all_spp_old_2020,five_spp_old_2020,cod_old_2020,bathymetry_2020,bottom_temperature_2020,cod_spawning_area_2020,dumping_site_2020,military_area_2020,surface_net_primary_production_2020,bottom_dissolved_oxygen_2020,fishing_activity_hours_2020,seabed_type_2020,ship_density_route_2020,bottom_salinity_2020,wind_farm_2020
11.37765369,56.74932413,145859.66,75638.391,193.12357,193.27312,90.216133,3.9102809,8.8167114,11.027716,0,0,0,2140.0469,303.74588,0,2,2,20.8916,0
20.77765369,56.14932413,254277.81,62669.648,12525.585,193.73738,47.038055,16.71731,22.172089,9.3946075,0,0,0,4050.6899,324.9335,0,2,31,7.1087551,0
17.37765369,55.54932413,304857.62,209419.94,181557.84,196.29439,87.079865,235.99585,20.979979,9.6788397,0,0,0,3043.6316,332.32782,37.380001,2,217,7.4762192,1
10.97765369,54.84932413,90783.18,80659.883,1401.1677,196.89354,135.00061,6.0839038,10.050272,10.942715,0,0,0,3569.6846,297.32156,12.23,2,7612,17.444168,0
20.77765369,56.04932413,225007.55,64845.031,19911.018,197.44559,50.268787,22.918285,29.158642,8.9716787,0,0,0,3702.6272,321.82596,33.830002,2,42,7.1705594,0
11.57765369,56.54932413,130833.93,60340.738,665.19598,199.43787,80.930275,6.0433526,29.918142,10.419001,0,0,0,2068.2048,236.22816,885.60999,2,99,32.822376,0
11.57765369,56.24932413,136893.98,66442.32,821.72461,200.64822,86.416855,5.3444881,23.483503,10.553323,0,0,0,2200.3696,253.2854,136.81,2,69,30.953737,0
11.47765369,56.64932413,154083.33,73599.711,253.56273,201.87865,86.582138,4.4455185,11.588228,11.067142,0,0,0,2168.0654,285.8819,399.25,2,0,24.764484,0
20.67765369,56.34932413,272529.56,56353.992,9976.5908,202.1973,47.01458,15.835121,26.498672,9.135437,0,0,1,3033.6804,328.9639,1.0700001,2,154,7.209693,0
18.17765369,54.84932413,141320.55,81852.367,71055.492,202.86893,118.51081,81.34716,10.117833,9.5190392,0,0,0,5063.0337,330.1983,0,2,240,7.5145473,0
13.17765369,54.94932413,167285.42,158802.22,64892.938,204.9628,161.37373,61.031727,43.912121,10.398325,0.5,0,0,2881.5723,268.95474,31.139999,2,149,13.804532,0
11.47765369,54.54932413,168424.53,162509.14,6813.4805,211.93617,171.36597,11.282845,14.754466,10.888019,0,0,0,3581.7441,292.08847,21.73,2,302,16.673098,0
20.57765369,55.94932413,70014.336,66769.266,55842.934,212.10059,74.504906,41.751812,29.977001,8.2054148,0,0,0,3410.105,324.93967,127.64,2,111,7.2434492,1
11.87765369,56.74932413,56905.16,23663.08,1196.2374,213.19527,71.869423,10.360887,38.515675,9.8026428,0,0,0,2055.3455,245.49014,1539.53,2,7042,33.413483,0
11.47765369,55.04932413,116645.69,16660.471,1244.384,216.37515,63.33939,11.088762,12.750679,11.526958,0,0,0,3498.623,289.23761,0,2,186,17.326694,0
11.57765369,54.94932413,116943.34,17429.787,1253.2944,216.53619,63.970989,11.025569,7.1878824,11.430246,0,0,0,4425.9995,313.77182,0,2,0,14.124546,0
14.47765369,54.84932413,176789.2,165955.67,122693.34,216.66641,163.80014,64.965416,16.517159,10.754627,0,0,0,3298.8733,324.84714,12.47,2,29,8.1451015,1
14.37765369,54.74932413,176789.2,165955.67,122693.34,216.66641,163.80014,61.840748,11.605083,10.765136,0,0,0,3602.8994,326.44525,31.27,2,4,8.0655165,0
11.67765369,54.94932413,117563.04,16728.441,1259.0773,217.15575,63.183979,11.055694,5.0244732,11.430271,0,0,0,4805.8223,316.00623,0,2,0,13.601824,0
11.67765369,55.04932413,118042.42,16275.198,1264.0459,217.62401,62.656673,11.088762,6.1017137,11.489687,0,0,0,4667.9331,313.32471,0.27000001,2,0,13.665327,0
11.27765369,54.24932413,153305.58,150232.67,19224.607,220.36023,179.21542,19.875019,20.396185,10.610474,0.5,0,1,3468.8926,256.82761,196.00999,2,121,18.576399,0
11.17765369,56.44932413,159368.42,100600.03,80.488892,222.31104,110.53341,4.7058854,18.030973,10.750253,0,0,0,2228.0015,259.64059,0,2,375,30.411694,0
11.17765369,54.34932413,236620.48,231700.59,2524.8333,225.01125,174.73291,12.151215,13.046742,11.351977,0,0,1,3523.2175,285.83145,349.42001,2,252,16.331604,0
10.87765369,55.84932413,173403.09,110040.07,113.71083,225.71994,87.109444,8.325057,26.303486,10.172273,0,0,0,2573.8794,258.05981,4.6100001,2,7232,28.840071,0
11.07765369,56.34932413,133792.61,75312.156,298.88889,226.78421,100.95295,6.8135939,19.819141,10.621544,0,0,0,2345.7756,257.32178,127.57,2,1251,30.18,0
20.47765369,55.94932413,154945.25,81290.766,45708.742,227.14998,83.614464,58.979527,33.959599,7.8657203,0,0,0,3227.9385,324.57648,193.24001,2,69,7.296978,1
11.07765369,56.64932413,153438.83,98535.789,79.203934,227.24132,117.41941,3.8381748,14.313972,11.081335,0,0,0,2292.3994,267.14221,14.42,2,50,29.049925,0
10.97765369,54.54932413,233353.38,229734.27,262.52444,230.20853,179.09387,9.1881714,10.099925,10.843516,0,0,1,3001.8496,293.96796,141.10001,2,3013,18.683836,0
11.37765369,57.24932413,110081.27,20823.949,410.66666,237.02533,60.996563,10.655036,74.773445,9.3271599,0,0,0,2251.6853,257.61499,1341.88,2,80,34.04195,0
11.87765369,56.24932413,163604.67,50448.969,1696.1885,237.83044,82.086571,7.6241417,25.770418,10.504601,0,0,0,2130.9907,256.05396,41.900002,2,78,31.302795,0
18.27765369,54.84932413,104626.4,18582.867,9703.8662,238.35135,103.53677,150.73996,11.525998,9.4928131,0,0,0,5267.1616,330.3284,7.46,2,363,7.511878,0
20.57765369,56.04932413,198429.94,72370.797,30120.965,243.46065,59.321644,30.148094,29.934717,8.3969345,0,0,0,3201.7141,325.50385,7.48,2,147,7.2249508,0
11.17765369,55.44932413,124239.91,106722.09,681.70776,249.33577,161.41653,6.8358798,11.525682,11.117225,0,0,0,3363.0342,291.30124,0.94,2,0,19.194622,0
11.27765369,57.04932413,125190.39,51337.434,377.19373,250.55829,84.903381,10.655036,9.6048708,11.127943,0,0,0,2519.7366,295.3179,0,2,0,24.914824,1
15.37765369,54.44932413,228501.72,84019.555,62922.152,253.81,102.9945,54.637974,40.817413,8.2004194,0,0,0,3092.9331,280.44778,566.96002,2,45,9.3453264,0
11.27765369,54.64932413,219430.8,216465.41,4369.4941,268.06339,219.88255,7.4896135,11.218128,10.930964,0,0,0,3646.7043,295.26685,120.37,2,0,16.842888,0
15.27765369,54.44932413,255757.53,128303.25,118164,271.1976,133.38293,79.830734,35.456261,8.2811451,0,0,0,3174.3523,297.72098,479.73001,2,117,8.7524385,1
15.17765369,54.44932413,255757.53,128303.25,118164,271.1976,133.38293,97.251816,32.411949,8.4529819,0,0,0,3256.5295,309.49045,603.35999,2,118,8.3968134,1
10.87765369,54.64932413,150278.22,117302.55,1960.6917,271.73251,177.80045,10.458489,28.166426,10.391281,0,0,0,3101.1277,267.46097,111.86,2,2495,22.81185,0
10.87765369,54.74932413,165257,128164.79,3095.4167,283.34567,151.93753,11.838041,18.205219,10.572433,0,0,0,3250.0999,282.96576,25.799999,2,3652,20.537249,0
16.87765369,54.94932413,230852.28,118562.7,108759.62,285.68774,147.64281,73.927567,16.199579,10.073591,0,0,0,2964.8665,330.66223,6.3800001,2,14,7.6006966,0
11.77765369,56.24932413,164837.23,52970.301,274,287.11252,101.90798,7.2689662,14.750099,10.83107,0,0,0,2141.186,282.83075,15.92,2,0,27.458334,0
20.47765369,56.04932413,221634.72,77487.805,31104.754,290.86435,66.2742,34.587971,28.149866,8.3636427,0,0,0,3094.0039,326.89673,16.09,2,203,7.2399983,1
